abstract,lead_paragraph,news_desk,section_name,subsection_name
"Speculating on the unlikely possibility of four separate winners in the four early states.","First, it was the fears of a contested convention. Then came the fretting about the strength of the field. ","First, it was the fears of a contested convention. Then came the fretting about the strength of the field. ","U.S.","Politics"
"Four white front-runners, three of them 70 or older. What is this primary telling us?","Kamala Harris folded her tent, and on that patch of ground, many flimsy theories bloomed. ","Kamala Harris folded her tent, and on that patch of ground, many flimsy theories bloomed. ","Opinion","Sunday Review"
"Rob Sand figured out how to win statewide office as a Democrat in Iowa, and now the presidential contenders are seeking his counsel — that is, when he isn’t deer hunting with bow and arrow.","CARROLL, Iowa — When I asked Rob Sand, the Iowa state auditor, if he could recommend fascinating Iowans to profile, he suggested himself. Then he suggested we go deer hunting.","CARROLL, Iowa — When I asked Rob Sand, the Iowa state auditor, if he could recommend fascinating Iowans to profile, he suggested himself. Then he suggested we go deer hunting.","U.S.","Politics"
"The president has made a trade agreement that caters to his opposition — and that’s why it stands a chance of passing Congress.","WASHINGTON — House Democrats return to Washington on Monday facing a difficult choice: Should they hand President Trump a victory in the midst of a heated impeachment battle or walk away from one of the most progressive trade pacts ever negotiated by either party?","WASHINGTON — House Democrats return to Washington on Monday facing a difficult choice: Should they hand President Trump a victory in the midst of a heated impeachment battle or walk away from one of the most progressive trade pacts ever negotiated by either party?","U.S.","Politics"
"A member of the House Intelligence Committee, Mr. Heck said in a blog post that the impeachment hearings had left him “weary.”","Representative Denny Heck, Democrat of Washington, said on Wednesday that he would not run for re-election in November in part because the impeachment hearings, in which he has participated as a member of the House Intelligence Committee, had left him “weary.”","Representative Denny Heck, Democrat of Washington, said on Wednesday that he would not run for re-election in November in part because the impeachment hearings, in which he has participated as a member of the House Intelligence Committee, had left him “weary.”","U.S.",
"Starting with Nancy Pelosi, many party leaders have failed to make labor enough of a priority, which hurts their coalition.","Organized labor is the lifeblood of liberal politics in the United States. Unions backed Franklin D. Roosevelt’s New Deal reforms, gave critical support to the fight for the Great Society and powered Democratic political victories throughout the 20th century. Even now, the Democratic Party is generally strongest in states where organized labor has the most influence.","Organized labor is the lifeblood of liberal politics in the United States. Unions backed Franklin D. Roosevelt’s New Deal reforms, gave critical support to the fight for the Great Society and powered Democratic political victories throughout the 20th century. Even now, the Democratic Party is generally strongest in states where organized labor has the most influence.","Opinion",
"Led by Elizabeth Warren, presidential candidates and liberal economists are pushing an unorthodox “pro-growth” argument for raising taxes on the rich.","WASHINGTON — Elizabeth Warren is leading a liberal rebellion against a long-held economic view that large tax increases slow economic growth, trying to upend Democratic policymaking in the way supply-side conservatives changed Republican orthodoxy four decades ago. ","WASHINGTON — Elizabeth Warren is leading a liberal rebellion against a long-held economic view that large tax increases slow economic growth, trying to upend Democratic policymaking in the way supply-side conservatives changed Republican orthodoxy four decades ago. ","Business Day",
"From Russia to Ukraine, the House needs to show the president’s pattern of corruption.","At Wednesday’s Judiciary Committee hearing on impeachment, the witness called by Republicans, the George Washington University law professor Jonathan Turley, gave a disingenuous, hackish performance. ","At Wednesday’s Judiciary Committee hearing on impeachment, the witness called by Republicans, the George Washington University law professor Jonathan Turley, gave a disingenuous, hackish performance. ","Opinion",
"The 2020 Democratic field was historically diverse. But the next debate won’t look like it.","We’ve talked a lot in this newsletter about the historic diversity of the Democratic primary campaign. At its peak, the field boasted six women, two black senators, a Latino former cabinet secretary, an American Samoan member of Congress and an Asian-American businessman.","We’ve talked a lot in this newsletter about the historic diversity of the Democratic primary campaign. At its peak, the field boasted six women, two black senators, a Latino former cabinet secretary, an American Samoan member of Congress and an Asian-American businessman.","U.S.","Politics"
"At the House Judiciary Committee hearing, Democrats stuck to repeating the facts of their case as Republicans denounced impeachment as a misguided partisan process.","Democrats and Republicans who squared off at Monday’s impeachment hearing in the House Judiciary Committee had one remarkable point of agreement: Both said that there are four key facts at the heart of the debate about whether President Trump should be impeached by the House and removed from office. ","Democrats and Republicans who squared off at Monday’s impeachment hearing in the House Judiciary Committee had one remarkable point of agreement: Both said that there are four key facts at the heart of the debate about whether President Trump should be impeached by the House and removed from office. ","U.S.","Politics"
